pictureName,dateTime,aperture,exposure,make,model,lenseModel,lenseDescription,ISO,APERTURE,WHITE_BALANCE,BRIGHTNESS,CONTRAST,SATURATION,SHARPNESS,SHUTTER_SPEED,DIGITAL_ZOOM_RATIO,IMAGE_WIDTH,IMAGE_HEIGHT,X_RESOLUTION,Y_RESOLUTION,FLASH,METERING_MODE,FOCAL_LENGTH,FOCAL_LENGTH_35MM, EXPOSURE_TIME, EXPOSURE_COMPENSATION, EXPOSURE_PROGRAM, ORIENTATION, COLOR_SPACE,SENSING_METHOD,SOFTWARE,MAKE,MODEL,LENS_MAKE,LENS_MODEL,OWNER_NAME,TITLE,AUTHOR,SUBJECT,KEYWORDS,COMMENT,RATING,RATING_PERCENT,DATE_TIME_ORIGINAL,GPS_LATITUDE,GPS_LATITUDE_REF,GPS_LONGITUDE, GPS_LONGITUDE_REF, GPS_ALTITUDE, GPS_ALTITUDE_REF, GPS_SPEED, GPS_SPEED_REF, GPS_PROCESS_METHOD,GPS_BEARING, GPS_BEARING_REF, GPS_TIMESTAMP, ROTATION, EXIF_VERSION, LENS_ID,COPYRIGHT,ARTIST,SUB_SEC_TIME_ORIGINAL, OBJECT_NAME, CAPTION_ABSTRACT,CREATOR,IPTC_KEYWORDS,COPYRIGHT_NOTICE, FILE_TYPE, FILE_SIZE, AVG_BITRATE, MIME_TYPE, CREATE_DATE, VISION_CONTENT, VISION_TAGS
organisch-abstrakt-Kleinformat-1416n.jpg,2018:08:24 13:33:50,4.99999967114547,0.0125000008221364,SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,640,4.99999967114547,1,4.99375,0,0,0,0.0125000008221364,1,3033,3057,240,240,16,5,12.14,-,0.0125,0,2,-,1,-,Adobe Photoshop Lightroom Classic 9.0 (Windows),SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,-,-,-,-,-,-,-,-,2018:08:24 13:33:50,-,-,-,-,-,-,-,-,-,-,-,-,-,0231,-,-,-,-,-,-,-,-,-,JPEG,5590216,-,-,2018:08:24 13:33:50,a close up of a logo,-
organisch-abstrakt-Kleinformat-1419n.jpg,2018:08:24 13:34:21,4.99999967114547,0.0125000008221364,SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,640,4.99999967114547,1,5.23203125,0,0,0,0.0125000008221364,1,3088,3065,240,240,16,5,12.14,-,0.0125,0,2,-,1,-,Adobe Photoshop Lightroom Classic 9.0 (Windows),SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,-,-,-,-,-,-,-,-,2018:08:24 13:34:21,-,-,-,-,-,-,-,-,-,-,-,-,-,0231,-,-,-,-,-,-,-,-,-,JPEG,6786973,-,-,2018:08:24 13:34:21,a close up of a blue wall,blue%table%
organisch-abstrakt-Kleinformat-1422n.jpg,2018:11:02 16:41:25,4.99999967114547,0.0125000008221364,SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,400,4.99999967114547,1,5.53671875,0,0,0,0.0125000008221364,1,2820,2781,240,240,16,5,14.23,-,0.0125,0,2,-,1,-,Adobe Photoshop Lightroom Classic 9.0 (Windows),SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,-,-,-,-,-,-,-,-,2018:11:02 16:41:25,-,-,-,-,-,-,-,-,-,-,-,-,-,0231,-,-,-,-,-,-,-,-,-,JPEG,6245740,-,-,2018:11:02 16:41:25,a close up of a tree,tree%rain%
organisch-abstrakt-Kleinformat-1410n.jpg,2018:07:07 13:46:31,4,0.0200000026308365,SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,200,4,1,5.62265625,0,0,0,0.0200000026308365,1,2698,2667,240,240,16,5,7.89,-,0.02,0,2,-,1,-,Adobe Photoshop Lightroom Classic 9.0 (Windows),SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,-,-,-,-,-,-,-,-,2018:07:07 13:46:31,-,-,-,-,-,-,-,-,-,-,-,-,-,0231,-,-,-,-,-,-,-,-,-,JPEG,4645393,-,-,2018:07:07 13:46:31,a turtle swimming under water,reptile%turtle%animal%laying%water%dog%young%boy%colorful%covered%man%hot%blue%field%white%playing%flying%bed%kite%
organisch-abstrakt-Kleinformat-1417n.jpg,2018:08:24 13:33:58,4.99999967114547,0.0125000008221364,SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,640,4.99999967114547,1,5.11484375,0,0,0,0.0125000008221364,1,3058,3033,240,240,16,5,12.14,-,0.0125,0,2,-,1,-,Adobe Photoshop Lightroom Classic 9.0 (Windows),SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,-,-,-,-,-,-,-,-,2018:08:24 13:33:58,-,-,-,-,-,-,-,-,-,-,-,-,-,0231,-,-,-,-,-,-,-,-,-,JPEG,5334632,-,-,2018:08:24 13:33:58,a close up of a blue wall,table%water%blue%phone%
organisch-abstrakt-Kleinformat-1414n.jpg,2018:08:24 13:30:46,4.99999967114547,0.0125000008221364,SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,400,4.99999967114547,1,5.54453125,0,0,0,0.0125000008221364,1,3010,2986,240,240,16,5,12.14,-,0.0125,0,2,-,1,-,Adobe Photoshop Lightroom Classic 9.0 (Windows),SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,-,-,-,-,-,-,-,-,2018:08:24 13:30:46,-,-,-,-,-,-,-,-,-,-,-,-,-,0231,-,-,-,-,-,-,-,-,-,JPEG,5457310,-,-,2018:08:24 13:30:46,a close up of a blue wall,blue%sitting%plane%red%water%laying%group%white%air%
organisch-abstrakt-Kleinformat-0936n.jpg,2018:05:26 17:07:29,4.99999967114547,0.0125000008221364,SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,320,4.99999967114547,1,5.67734375,0,0,0,0.0125000008221364,1,2973,2959,240,240,16,5,14.23,-,0.0125,0,2,-,1,-,Adobe Photoshop Lightroom Classic 9.0 (Windows),SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,-,-,-,-,-,-,-,-,2018:05:26 17:07:29,-,-,-,-,-,-,-,-,-,-,-,-,-,0231,-,-,-,-,-,-,-,-,-,JPEG,5892531,-,-,2018:05:26 17:07:29,a close up of a red brick building,building%red%orange%table%sitting%painted%brick%white%graffiti%hydrant%drawn%
organisch-abstrakt-Kleinformat-1405n.jpg,2018:07:07 13:49:38,4.99999967114547,0.0125000008221364,SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,400,4.99999967114547,1,5.2828125,0,0,0,0.0125000008221364,1,3057,3057,240,240,16,5,14.23,-,0.0125,0,2,-,1,-,Adobe Photoshop Lightroom Classic 9.0 (Windows),SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,-,-,-,-,-,-,-,-,2018:07:07 13:49:38,-,-,-,-,-,-,-,-,-,-,-,-,-,0231,-,-,-,-,-,-,-,-,-,JPEG,5789409,-,-,2018:07:07 13:49:38,a close up of a yellow wall,yellow%doughnut%table%sitting%cake%brown%black%donut%holding%pan%drawn%
organisch-abstrakt-Kleinformat-0937n.jpg,2018:05:26 17:07:44,4.99999967114547,0.0125000008221364,SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,250,4.99999967114547,1,5.89609375,0,0,0,0.0125000008221364,1,2978,2970,240,240,16,5,14.23,-,0.0125,0,2,-,1,-,Adobe Photoshop Lightroom Classic 9.0 (Windows),SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,-,-,-,-,-,-,-,-,2018:05:26 17:07:44,-,-,-,-,-,-,-,-,-,-,-,-,-,0231,-,-,-,-,-,-,-,-,-,JPEG,2605464,-,-,2018:05:26 17:07:44,-,book%text%building%orange%red%covered%lying%sitting%table%laying%old%white%television%man%fire%street%blue%
organisch-abstrakt-Kleinformat-1408n.jpg,2018:07:07 13:50:15,4.99999967114547,0.0125000008221364,SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,400,4.99999967114547,1,5.34140625,0,0,0,0.0125000008221364,1,3041,3025,240,240,16,5,14.23,-,0.0125,0,2,-,1,-,Adobe Photoshop Lightroom Classic 9.0 (Windows),SONY,DSC-WX220,-,4.5-44.5 mm f/3.3-5.9,-,-,-,-,-,-,-,-,2018:07:07 13:50:15,-,-,-,-,-,-,-,-,-,-,-,-,-,0231,-,-,-,-,-,-,-,-,-,JPEG,5261844,-,-,2018:07:07 13:50:15,a close up of a yellow wall,yellow%building%train%stop%bus%phone%rain%street%drawn%
